
Size, GFlop/s, msec, Ops
128, 147.65 , 0.028, 4194304
160, 120.89 , 0.068, 8192000
192, 140.13 , 0.101, 14155776
224, 137.51 , 0.163, 22478848
256, 155.74 , 0.215, 33554432
288, 139.84 , 0.342, 47775744
320, 152.08 , 0.431, 65536000
352, 150.86 , 0.578, 87228416
384, 156.00 , 0.726, 113246208
416, 149.50 , 0.963, 143982592
448, 154.35 , 1.165, 179830784
480, 153.86 , 1.438, 221184000
512, 159.36 , 1.684, 268435456
544, 154.70 , 2.081, 321978368
576, 154.50 , 2.474, 382205952
608, 154.05 , 2.918, 449511424
640, 156.70 , 3.346, 524288000
672, 148.24 , 4.094, 606928896
704, 152.04 , 4.590, 697827328
736, 151.69 , 5.257, 797376512
768, 155.84 , 5.813, 905969664
800, 152.20 , 6.728, 1024000000
832, 150.38 , 7.660, 1151860736
864, 150.26 , 8.585, 1289945088
896, 153.72 , 9.359, 1438646272
928, 152.19 , 10.503, 1598357504
960, 151.46 , 11.683, 1769472000
992, 152.98 , 12.762, 1952382976
1024, 152.61 , 14.072, 2147483648
1056, 154.12 , 15.281, 2355167232
1088, 154.24 , 16.700, 2575826944
1120, 153.12 , 18.350, 2809856000
1152, 151.89 , 20.131, 3057647616
1184, 154.24 , 21.523, 3319595008
1216, 153.38 , 23.446, 3596091392
